name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Wii Sports,Wii,2006,Sports,Nintendo,41.02,28.66,3.77,8.39,81.84,"Nov 19, 2006",76,100,51,8.2,229,Nintendo,E
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.07,12.36,3.71,3.19,34.33,"Apr 27, 2008",82,100,73,8.2,503,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.38,10.71,3.25,2.89,32.24,"Jul 26, 2009",80,100,73,7.7,132,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.89,9.14,2.93,2.83,28.79,"Feb 12, 2007",58,100,41,6.5,103,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,13.85,6.57,4.69,2.14,27.25,"Nov 15, 2009",87,100,80,8.3,446,Nintendo,E
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.60,2.14,22.69,"May 19, 2008",80,100,63,7.7,135,Nintendo,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,8.91,8.25,2.53,1.75,21.43,"Oct  4, 2009",80,100,33,7.3,40,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.41,4.69,0.24,1.59,20.92,"Nov  4, 2010",61,100,45,6.2,82,Good Science Studio,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,5.67,7.23,0.68,3.14,16.71,"Sep 17, 2013",97,100,50,8.2,2586,Rockstar North,M
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,8.67,4.09,0.13,1.27,14.16,"Nov  8, 2011",88,100,81,3.3,8457,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.26,3.53,0.11,1.07,13.97,"Nov  9, 2010",87,100,89,6.0,1267,Treyarch,M
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,7.79,4.39,0.04,1.10,13.33,"Sep 17, 2013",97,100,58,8.1,2714,Rockstar North,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.36,3.48,0.08,1.26,13.17,"Nov 10, 2009",94,100,100,6.1,2456,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.35,5.45,0.49,1.45,12.74,"Nov  8, 2011",88,100,39,3.1,5037,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,7.71,3.96,0.05,0.86,12.57,"Nov 13, 2012",83,100,73,4.5,1975,Treyarch,M
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.77,4.14,0.48,1.68,12.08,"Nov  9, 2010",88,100,58,6.0,850,Treyarch,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.20,2.35,2.57,0.94,12.05,"Mar  9, 2008",93,100,81,8.9,1330,Game Arts,T
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.79,2.76,0.13,1.18,11.87,"Sep 25, 2007",94,100,86,7.7,3523,Bungie Software,M
